y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
69.0,0.030588813617454177,auto_scan-2026-07-30_11-33-11,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy,69.0,auto_scan-2026-07-30_11-19-30,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy
69.5,0.030712735757092473,auto_scan-2026-07-30_11-33-11,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000087.100mm-shot0000.npy,69.5,auto_scan-2026-07-30_11-19-30,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000087.100mm-shot0000.npy
70.0,0.032935562739604234,auto_scan-2026-07-30_11-33-11,jul30_axicon3_001_060-tableyp000700.000mm-gantryxp000075.000mm-yp000030.000mm-zm000087.100mm-shot0000.npy,70.0,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000700.000mm-gantryxp000080.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy
70.5,0.03405465112748473,auto_scan-2026-07-30_11-33-11,jul30_axicon3_001_060-tableyp000705.000mm-gantryxp000075.000mm-yp000025.000mm-zm000087.100mm-shot0000.npy,70.5,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000705.000mm-gantryxp000080.000mm-yp000125.000mm-zm000087.100mm-shot0000.npy
81.0,0.06580820467360855,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000810.000mm-gantryxp000080.000mm-yp000120.000mm-zm000084.100mm-shot0000.npy,81.0,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000810.000mm-gantryxp000080.000mm-yp000020.000mm-zm000087.100mm-shot0000.npy
81.0,0.06280286975455575,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000810.000mm-gantryxp000085.000mm-yp000120.000mm-zm000084.100mm-shot0000.npy,81.0,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000810.000mm-gantryxp000080.000mm-yp000020.000mm-zm000087.100mm-shot0000.npy
81.5,0.07129980381241648,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000815.000mm-gantryxp000080.000mm-yp000115.000mm-zm000084.100mm-shot0000.npy,81.5,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000815.000mm-gantryxp000080.000mm-yp000015.000mm-zm000087.100mm-shot0000.npy
81.5,0.07092756857441841,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000815.000mm-gantryxp000085.000mm-yp000115.000mm-zm000084.100mm-shot0000.npy,81.5,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000815.000mm-gantryxp000080.000mm-yp000015.000mm-zm000087.100mm-shot0000.npy
82.0,0.07472502927129741,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000820.000mm-gantryxp000085.000mm-yp000110.000mm-zm000084.100mm-shot0000.npy,82.0,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000820.000mm-gantryxp000080.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy
82.0,0.07410165339932454,auto_scan-2026-07-30_10-28-52,jul30_axicon3_001_080-tableyp000820.000mm-gantryxp000080.000mm-yp000110.000mm-zm000084.100mm-shot0000.npy,82.0,auto_scan-2026-07-30_10-57-31,jul30_axicon3_001_070-tableyp000820.000mm-gantryxp000080.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy
