beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
86.0,auto_scan-2026-08-06_09-33-56,y0086.00cm,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,66,6335.0,0.0104,0.437,0,False
86.0,auto_scan-2026-08-06_09-33-56,y0086.00cm,aug6_axicon3_007-tableyp000860.000mm-gantryxp000070.000mm-yp000070.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,151,6335.0,0.0238,1.0,0,False
87.0,auto_scan-2026-08-06_08-38-37,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000070.000mm-yp000060.000mm-zm000064.100mm-shot0000.npy,70.0,-64.1,121,6203.7,0.0195,0.945,0,False
87.0,auto_scan-2026-08-06_08-38-37,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000070.000mm-yp000060.000mm-zm000068.100mm-shot0000.npy,70.0,-68.1,128,6203.7,0.0206,1.0,0,False
87.0,auto_scan-2026-08-06_09-33-56,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000065.000mm-yp000060.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,64,6335.0,0.0101,0.43,0,False
87.0,auto_scan-2026-08-06_09-33-56,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000065.000mm-yp000060.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,65,6335.0,0.0103,0.436,0,False
87.0,auto_scan-2026-08-06_09-33-56,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000070.000mm-yp000060.000mm-zm000063.100mm-shot0000.npy,70.0,-63.099999999999994,99,6335.0,0.0156,0.664,0,False
87.0,auto_scan-2026-08-06_09-33-56,y0087.00cm,aug6_axicon3_007-tableyp000870.000mm-gantryxp000070.000mm-yp000060.000mm-zm000067.100mm-shot0000.npy,70.0,-67.1,149,6335.0,0.0235,1.0,0,False
88.0,auto_scan-2026-08-06_08-38-37,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000065.000mm-yp000050.000mm-zm000064.100mm-shot0000.npy,65.0,-64.1,97,13803.3,0.007,0.416,0,False
88.0,auto_scan-2026-08-06_08-38-37,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000065.000mm-yp000050.000mm-zm000068.100mm-shot0000.npy,65.0,-68.1,100,13803.3,0.0072,0.429,0,False
88.0,auto_scan-2026-08-06_08-38-37,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000070.000mm-yp000050.000mm-zm000064.100mm-shot0000.npy,70.0,-64.1,233,13803.3,0.0169,1.0,0,False
88.0,auto_scan-2026-08-06_08-38-37,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000070.000mm-yp000050.000mm-zm000068.100mm-shot0000.npy,70.0,-68.1,149,13803.3,0.0108,0.639,0,False
88.0,auto_scan-2026-08-06_09-33-56,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000065.000mm-yp000050.000mm-zm000063.100mm-shot0000.npy,65.0,-63.099999999999994,67,6335.0,0.0106,0.554,0,False
88.0,auto_scan-2026-08-06_09-33-56,y0088.00cm,aug6_axicon3_007-tableyp000880.000mm-gantryxp000065.000mm-yp000050.000mm-zm000067.100mm-shot0000.npy,65.0,-67.1,72,6335.0,0.0114,0.595,0,False
