y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
5.0,0.045296128446739706,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000050.000mm-gantryxp000060.000mm-yp000130.000mm-zm000112.100mm-shot0000.npy,5.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000050.000mm-gantryxp000060.000mm-yp000130.000mm-zm000102.100mm-shot0000.npy
6.0,0.04491148484029901,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000060.000mm-gantryxp000060.000mm-yp000120.000mm-zm000112.100mm-shot0000.npy,6.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000060.000mm-gantryxp000060.000mm-yp000120.000mm-zm000102.100mm-shot0000.npy
7.0,0.04025801695164619,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000070.000mm-gantryxp000060.000mm-yp000110.000mm-zm000112.100mm-shot0000.npy,7.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000070.000mm-gantryxp000060.000mm-yp000110.000mm-zm000102.100mm-shot0000.npy
8.0,0.05095412369259961,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000080.000mm-gantryxp000065.000mm-yp000100.000mm-zm000112.100mm-shot0000.npy,8.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000080.000mm-gantryxp000060.000mm-yp000100.000mm-zm000102.100mm-shot0000.npy
9.0,0.05278963410682936,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000090.000mm-gantryxp000065.000mm-yp000090.000mm-zm000112.100mm-shot0000.npy,9.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000090.000mm-gantryxp000060.000mm-yp000090.000mm-zm000102.100mm-shot0000.npy
10.0,0.05304110640815925,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000100.000mm-gantryxp000065.000mm-yp000080.000mm-zm000112.100mm-shot0000.npy,10.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000102.100mm-shot0000.npy
11.0,0.05844656976635247,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000110.000mm-gantryxp000065.000mm-yp000070.000mm-zm000112.100mm-shot0000.npy,11.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000110.000mm-gantryxp000060.000mm-yp000070.000mm-zm000102.100mm-shot0000.npy
12.0,0.06075736555039671,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000120.000mm-gantryxp000065.000mm-yp000060.000mm-zm000112.100mm-shot0000.npy,12.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000120.000mm-gantryxp000060.000mm-yp000060.000mm-zm000102.100mm-shot0000.npy
13.0,0.060566779573124827,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000130.000mm-gantryxp000065.000mm-yp000050.000mm-zm000112.100mm-shot0000.npy,13.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000130.000mm-gantryxp000060.000mm-yp000050.000mm-zm000102.100mm-shot0000.npy
14.0,0.06288796535809273,auto_scan-2026-08-06_18-38-37,aug6_telescope_001-tableyp000140.000mm-gantryxp000065.000mm-yp000040.000mm-zm000112.100mm-shot0000.npy,14.0,auto_scan-2026-08-06_20-51-45,aug6_telescope_001-tableyp000140.000mm-gantryxp000060.000mm-yp000040.000mm-zm000102.100mm-shot0000.npy
