y_cm,rate,run,frame,kept_y_cm,kept_run,kept_frame
133.0,1.8868320413069322,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001330.000mm-gantryxp000080.000mm-yp000100.000mm-zm000047.100mm-shot0000.npy,133.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001330.000mm-gantryxp000075.000mm-yp000100.000mm-zm000047.100mm-shot0000.npy
134.0,1.9023903656656322,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001340.000mm-gantryxp000075.000mm-yp000090.000mm-zm000047.100mm-shot0000.npy,134.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001340.000mm-gantryxp000080.000mm-yp000090.000mm-zm000047.100mm-shot0000.npy
138.0,1.4622385832475748,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001380.000mm-gantryxp000080.000mm-yp000050.000mm-zm000043.100mm-shot0000.npy,138.0,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001380.000mm-gantryxp000080.000mm-yp000050.000mm-zm000047.100mm-shot0000.npy
142.0,0.951266004942485,auto_scan-2026-08-06_11-19-48,aug6_axicon3_013-tableyp001420.000mm-gantryxp000080.000mm-yp000010.000mm-zm000043.100mm-shot0000.npy,142.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001420.000mm-gantryxp000080.000mm-yp000110.000mm-zm000043.100mm-shot0000.npy
148.0,0.3842722816307665,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001480.000mm-gantryxp000080.000mm-yp000050.000mm-zm000043.100mm-shot0000.npy,148.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001480.000mm-gantryxp000080.000mm-yp000050.000mm-zm000039.100mm-shot0000.npy
150.0,0.2767364862958436,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000085.000mm-yp000130.000mm-zm000042.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.27358214336060943,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000080.000mm-yp000130.000mm-zm000038.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.27150125792921426,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000080.000mm-yp000130.000mm-zm000042.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
150.0,0.2637598913551527,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001500.000mm-gantryxp000085.000mm-yp000130.000mm-zm000038.100mm-shot0000.npy,150.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001500.000mm-gantryxp000080.000mm-yp000030.000mm-zm000039.100mm-shot0000.npy
151.0,0.2333495405594272,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001510.000mm-gantryxp000080.000mm-yp000120.000mm-zm000038.100mm-shot0000.npy,151.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001510.000mm-gantryxp000080.000mm-yp000020.000mm-zm000039.100mm-shot0000.npy
151.0,0.22713494513075724,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001510.000mm-gantryxp000085.000mm-yp000120.000mm-zm000038.100mm-shot0000.npy,151.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001510.000mm-gantryxp000080.000mm-yp000020.000mm-zm000039.100mm-shot0000.npy
152.0,0.19415175876981194,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001520.000mm-gantryxp000080.000mm-yp000110.000mm-zm000038.100mm-shot0000.npy,152.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001520.000mm-gantryxp000080.000mm-yp000010.000mm-zm000039.100mm-shot0000.npy
152.0,0.1846004307758806,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001520.000mm-gantryxp000085.000mm-yp000110.000mm-zm000038.100mm-shot0000.npy,152.0,auto_scan-2026-08-06_11-28-06,aug6_axicon3_014-tableyp001520.000mm-gantryxp000080.000mm-yp000010.000mm-zm000039.100mm-shot0000.npy
153.0,0.15077494997422972,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001530.000mm-gantryxp000085.000mm-yp000100.000mm-zm000038.100mm-shot0000.npy,153.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001530.000mm-gantryxp000080.000mm-yp000100.000mm-zm000038.100mm-shot0000.npy
155.0,0.11318983947790316,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001550.000mm-gantryxp000085.000mm-yp000080.000mm-zm000038.100mm-shot0000.npy,155.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001550.000mm-gantryxp000080.000mm-yp000080.000mm-zm000038.100mm-shot0000.npy
156.0,0.09457567432876149,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001560.000mm-gantryxp000080.000mm-yp000070.000mm-zm000038.100mm-shot0000.npy,156.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001560.000mm-gantryxp000085.000mm-yp000070.000mm-zm000038.100mm-shot0000.npy
157.0,0.07743201272778383,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001570.000mm-gantryxp000080.000mm-yp000060.000mm-zm000038.100mm-shot0000.npy,157.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001570.000mm-gantryxp000085.000mm-yp000060.000mm-zm000038.100mm-shot0000.npy
158.0,0.055467400355113994,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001580.000mm-gantryxp000080.000mm-yp000050.000mm-zm000038.100mm-shot0000.npy,158.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001580.000mm-gantryxp000085.000mm-yp000050.000mm-zm000038.100mm-shot0000.npy
159.0,0.05017388713320642,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001590.000mm-gantryxp000085.000mm-yp000040.000mm-zm000038.100mm-shot0000.npy,159.0,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001590.000mm-gantryxp000080.000mm-yp000040.000mm-zm000038.100mm-shot0000.npy
160.0,0.04287579255578516,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001600.000mm-gantryxp000082.000mm-yp000130.000mm-zm000037.100mm-shot0000.npy,160.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001600.000mm-gantryxp000087.000mm-yp000130.000mm-zm000037.100mm-shot0000.npy
160.0,0.040532511560486505,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001600.000mm-gantryxp000085.000mm-yp000030.000mm-zm000038.100mm-shot0000.npy,160.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001600.000mm-gantryxp000087.000mm-yp000130.000mm-zm000037.100mm-shot0000.npy
160.0,0.03985942229375098,auto_scan-2026-08-06_11-42-44,aug6_axicon3_015-tableyp001600.000mm-gantryxp000080.000mm-yp000030.000mm-zm000038.100mm-shot0000.npy,160.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001600.000mm-gantryxp000087.000mm-yp000130.000mm-zm000037.100mm-shot0000.npy
161.0,0.036787939956452555,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001610.000mm-gantryxp000082.000mm-yp000120.000mm-zm000037.100mm-shot0000.npy,161.0,auto_scan-2026-08-06_11-58-30,aug6_axicon3_016-tableyp001610.000mm-gantryxp000087.000mm-yp000120.000mm-zm000037.100mm-shot0000.npy
