run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_12-37-22,y0090.00cm,1000000.0,25,2,0.002216815948486328,0.0,0.12957777082920074,154.0
auto_scan-2026-07-29_12-37-22,y0090.50cm,1420.7106370192307,12,2,0.10381206125020981,0.0,0.3051226735115051,7.0
auto_scan-2026-07-29_12-37-22,y0091.00cm,1420.7106370192307,12,2,0.030062993988394737,0.0,0.17082132399082184,7.0
auto_scan-2026-07-29_12-37-22,y0091.50cm,1420.7106370192307,12,2,0.09707339853048325,0.0,0.2961166203022003,7.0
auto_scan-2026-07-29_12-37-22,y0092.00cm,1420.7106370192307,12,2,0.08889087289571762,0.0,0.2846854627132416,8.0
auto_scan-2026-07-29_12-37-22,y0092.50cm,1420.7106370192307,12,2,0.029481887817382812,0.0,0.16923214495182037,8.0
auto_scan-2026-07-29_12-37-22,y0093.00cm,1119.549580109425,12,2,0.052038829773664474,0.0,0.22218161821365356,9.0
auto_scan-2026-07-29_12-37-22,y0093.50cm,1119.549580109425,12,2,0.021156469359993935,0.0,0.14400935173034668,8.0
auto_scan-2026-07-29_12-37-22,y0094.00cm,1119.549580109425,12,2,0.021515527740120888,0.0,0.1452202945947647,9.0
auto_scan-2026-07-29_12-37-22,y0094.50cm,1119.549580109425,12,2,0.02735137939453125,0.0,0.16321848332881927,9.0
auto_scan-2026-07-29_12-37-22,y0095.00cm,1119.549580109425,12,2,0.0258331298828125,0.0,0.15876904129981995,10.0
auto_scan-2026-07-29_12-37-22,y0095.50cm,1119.549580109425,12,2,0.052451133728027344,0.0,0.22303250432014465,10.0
auto_scan-2026-07-29_12-37-22,y0096.00cm,1119.549580109425,12,2,0.04751253128051758,0.0,0.21283844113349915,10.0
auto_scan-2026-07-29_12-37-22,y0096.50cm,930.7024806074505,12,2,0.016018232330679893,0.0,0.12574900686740875,11.0
auto_scan-2026-07-29_12-37-22,y0097.00cm,930.7024806074505,12,2,0.014529228210449219,0.0,0.11987408250570297,11.0
auto_scan-2026-07-29_12-37-22,y0097.50cm,930.7024806074505,12,2,0.013767560012638569,0.0,0.11675824224948883,11.0
auto_scan-2026-07-29_12-37-22,y0098.00cm,930.7024806074505,12,2,0.027322769165039062,0.0,0.16319924592971802,11.0
auto_scan-2026-07-29_12-37-22,y0098.50cm,930.7024806074505,12,2,0.02630074881017208,0.0,0.16021797060966492,12.0
auto_scan-2026-07-29_12-37-22,y0099.00cm,930.7024806074505,12,2,0.03116830252110958,0.0,0.17394070327281952,11.0
auto_scan-2026-07-29_12-37-22,y0099.50cm,930.7024806074505,12,2,0.012731711380183697,0.0,0.1123763918876648,11.0
