beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
66.0,auto_scan-2026-07-30_11-19-30,y0066.00cm,jul30_axicon3_001_060-tableyp000660.000mm-gantryxp000075.000mm-yp000070.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,165,5043.3,0.0327,0.954,0,False
66.5,auto_scan-2026-07-30_11-19-30,y0066.50cm,jul30_axicon3_001_060-tableyp000665.000mm-gantryxp000075.000mm-yp000065.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,146,4192.6,0.0348,0.948,0,False
66.5,auto_scan-2026-07-30_11-19-30,y0066.50cm,jul30_axicon3_001_060-tableyp000665.000mm-gantryxp000075.000mm-yp000065.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,154,4192.6,0.0367,1.0,0,False
67.0,auto_scan-2026-07-30_11-19-30,y0067.00cm,jul30_axicon3_001_060-tableyp000670.000mm-gantryxp000075.000mm-yp000060.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,152,4192.6,0.0363,1.0,0,False
67.0,auto_scan-2026-07-30_11-19-30,y0067.00cm,jul30_axicon3_001_060-tableyp000670.000mm-gantryxp000075.000mm-yp000060.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,152,4192.6,0.0363,1.0,0,False
67.5,auto_scan-2026-07-30_11-19-30,y0067.50cm,jul30_axicon3_001_060-tableyp000675.000mm-gantryxp000075.000mm-yp000055.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,144,4192.6,0.0343,1.0,0,False
67.5,auto_scan-2026-07-30_11-19-30,y0067.50cm,jul30_axicon3_001_060-tableyp000675.000mm-gantryxp000075.000mm-yp000055.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,140,4192.6,0.0334,0.972,0,False
68.0,auto_scan-2026-07-30_11-19-30,y0068.00cm,jul30_axicon3_001_060-tableyp000680.000mm-gantryxp000075.000mm-yp000050.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,149,4192.6,0.0355,1.0,0,False
68.0,auto_scan-2026-07-30_11-19-30,y0068.00cm,jul30_axicon3_001_060-tableyp000680.000mm-gantryxp000075.000mm-yp000050.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,146,4192.6,0.0348,0.98,0,False
68.5,auto_scan-2026-07-30_11-19-30,y0068.50cm,jul30_axicon3_001_060-tableyp000685.000mm-gantryxp000075.000mm-yp000045.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,149,4192.6,0.0355,0.987,0,False
68.5,auto_scan-2026-07-30_11-19-30,y0068.50cm,jul30_axicon3_001_060-tableyp000685.000mm-gantryxp000075.000mm-yp000045.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,151,4192.6,0.036,1.0,0,False
69.0,auto_scan-2026-07-30_11-19-30,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,144,4192.6,0.0343,0.966,0,False
69.0,auto_scan-2026-07-30_11-19-30,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,149,4192.6,0.0355,1.0,0,False
69.0,auto_scan-2026-07-30_11-33-11,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,147,4322.9,0.034,0.98,0,False
69.0,auto_scan-2026-07-30_11-33-11,y0069.00cm,jul30_axicon3_001_060-tableyp000690.000mm-gantryxp000075.000mm-yp000040.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,150,4322.9,0.0347,1.0,0,False
69.5,auto_scan-2026-07-30_11-19-30,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,138,4192.6,0.0329,0.945,0,False
69.5,auto_scan-2026-07-30_11-19-30,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,146,4192.6,0.0348,1.0,0,False
69.5,auto_scan-2026-07-30_11-33-11,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,148,4322.9,0.0342,1.0,0,False
69.5,auto_scan-2026-07-30_11-33-11,y0069.50cm,jul30_axicon3_001_060-tableyp000695.000mm-gantryxp000075.000mm-yp000035.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,146,4322.9,0.0338,0.986,0,False
70.0,auto_scan-2026-07-30_10-57-31,y0070.00cm,jul30_axicon3_001_070-tableyp000700.000mm-gantryxp000075.000mm-yp000130.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,151,4089.2,0.0369,0.981,0,False
70.0,auto_scan-2026-07-30_10-57-31,y0070.00cm,jul30_axicon3_001_070-tableyp000700.000mm-gantryxp000075.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,144,4089.2,0.0352,0.935,0,False
70.0,auto_scan-2026-07-30_10-57-31,y0070.00cm,jul30_axicon3_001_070-tableyp000700.000mm-gantryxp000080.000mm-yp000130.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,154,4089.2,0.0377,1.0,0,False
70.0,auto_scan-2026-07-30_10-57-31,y0070.00cm,jul30_axicon3_001_070-tableyp000700.000mm-gantryxp000080.000mm-yp000130.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,152,4089.2,0.0372,0.987,0,False
70.0,auto_scan-2026-07-30_11-33-11,y0070.00cm,jul30_axicon3_001_060-tableyp000700.000mm-gantryxp000075.000mm-yp000030.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,152,4322.9,0.0352,0.981,0,False
70.0,auto_scan-2026-07-30_11-33-11,y0070.00cm,jul30_axicon3_001_060-tableyp000700.000mm-gantryxp000075.000mm-yp000030.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,155,4322.9,0.0359,1.0,0,False
70.0,auto_scan-2026-07-30_11-33-11,y0070.00cm,jul30_axicon3_001_060-tableyp000700.000mm-gantryxp000080.000mm-yp000030.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,139,4322.9,0.0322,0.897,0,False
70.0,auto_scan-2026-07-30_11-33-11,y0070.00cm,jul30_axicon3_001_060-tableyp000700.000mm-gantryxp000080.000mm-yp000030.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,144,4322.9,0.0333,0.929,0,False
70.5,auto_scan-2026-07-30_10-57-31,y0070.50cm,jul30_axicon3_001_070-tableyp000705.000mm-gantryxp000075.000mm-yp000125.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,172,4089.2,0.0421,1.0,0,False
70.5,auto_scan-2026-07-30_10-57-31,y0070.50cm,jul30_axicon3_001_070-tableyp000705.000mm-gantryxp000075.000mm-yp000125.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,165,4089.2,0.0404,0.959,0,False
70.5,auto_scan-2026-07-30_10-57-31,y0070.50cm,jul30_axicon3_001_070-tableyp000705.000mm-gantryxp000080.000mm-yp000125.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,158,4089.2,0.0386,0.919,0,False
70.5,auto_scan-2026-07-30_10-57-31,y0070.50cm,jul30_axicon3_001_070-tableyp000705.000mm-gantryxp000080.000mm-yp000125.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,167,4089.2,0.0408,0.971,0,False
70.5,auto_scan-2026-07-30_11-33-11,y0070.50cm,jul30_axicon3_001_060-tableyp000705.000mm-gantryxp000075.000mm-yp000025.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,165,4322.9,0.0382,0.943,0,False
70.5,auto_scan-2026-07-30_11-33-11,y0070.50cm,jul30_axicon3_001_060-tableyp000705.000mm-gantryxp000075.000mm-yp000025.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,160,4322.9,0.037,0.914,0,False
70.5,auto_scan-2026-07-30_11-33-11,y0070.50cm,jul30_axicon3_001_060-tableyp000705.000mm-gantryxp000080.000mm-yp000025.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,151,4322.9,0.0349,0.863,0,False
70.5,auto_scan-2026-07-30_11-33-11,y0070.50cm,jul30_axicon3_001_060-tableyp000705.000mm-gantryxp000080.000mm-yp000025.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,175,4322.9,0.0405,1.0,0,False
71.0,auto_scan-2026-07-30_10-57-31,y0071.00cm,jul30_axicon3_001_070-tableyp000710.000mm-gantryxp000075.000mm-yp000120.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,154,4089.2,0.0377,0.951,0,False
71.0,auto_scan-2026-07-30_10-57-31,y0071.00cm,jul30_axicon3_001_070-tableyp000710.000mm-gantryxp000075.000mm-yp000120.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,161,4089.2,0.0394,0.994,0,False
71.0,auto_scan-2026-07-30_10-57-31,y0071.00cm,jul30_axicon3_001_070-tableyp000710.000mm-gantryxp000080.000mm-yp000120.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,162,4089.2,0.0396,1.0,0,False
71.0,auto_scan-2026-07-30_10-57-31,y0071.00cm,jul30_axicon3_001_070-tableyp000710.000mm-gantryxp000080.000mm-yp000120.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,153,4089.2,0.0374,0.944,0,False
71.0,auto_scan-2026-07-30_11-33-11,y0071.00cm,jul30_axicon3_001_060-tableyp000710.000mm-gantryxp000075.000mm-yp000020.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,153,4322.9,0.0354,0.939,0,False
71.0,auto_scan-2026-07-30_11-33-11,y0071.00cm,jul30_axicon3_001_060-tableyp000710.000mm-gantryxp000075.000mm-yp000020.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,151,4322.9,0.0349,0.926,0,False
71.0,auto_scan-2026-07-30_11-33-11,y0071.00cm,jul30_axicon3_001_060-tableyp000710.000mm-gantryxp000080.000mm-yp000020.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,163,4322.9,0.0377,1.0,0,False
71.0,auto_scan-2026-07-30_11-33-11,y0071.00cm,jul30_axicon3_001_060-tableyp000710.000mm-gantryxp000080.000mm-yp000020.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,155,4322.9,0.0359,0.951,0,False
71.5,auto_scan-2026-07-30_10-57-31,y0071.50cm,jul30_axicon3_001_070-tableyp000715.000mm-gantryxp000075.000mm-yp000115.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,162,4089.2,0.0396,0.942,0,False
71.5,auto_scan-2026-07-30_10-57-31,y0071.50cm,jul30_axicon3_001_070-tableyp000715.000mm-gantryxp000075.000mm-yp000115.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,156,4089.2,0.0381,0.907,0,False
71.5,auto_scan-2026-07-30_10-57-31,y0071.50cm,jul30_axicon3_001_070-tableyp000715.000mm-gantryxp000080.000mm-yp000115.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,172,4089.2,0.0421,1.0,0,False
71.5,auto_scan-2026-07-30_10-57-31,y0071.50cm,jul30_axicon3_001_070-tableyp000715.000mm-gantryxp000080.000mm-yp000115.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,151,4089.2,0.0369,0.878,0,False
71.5,auto_scan-2026-07-30_11-33-11,y0071.50cm,jul30_axicon3_001_060-tableyp000715.000mm-gantryxp000075.000mm-yp000015.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,177,4322.9,0.0409,0.994,0,False
71.5,auto_scan-2026-07-30_11-33-11,y0071.50cm,jul30_axicon3_001_060-tableyp000715.000mm-gantryxp000075.000mm-yp000015.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,178,4322.9,0.0412,1.0,0,False
71.5,auto_scan-2026-07-30_11-33-11,y0071.50cm,jul30_axicon3_001_060-tableyp000715.000mm-gantryxp000080.000mm-yp000015.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,168,4322.9,0.0389,0.944,0,False
71.5,auto_scan-2026-07-30_11-33-11,y0071.50cm,jul30_axicon3_001_060-tableyp000715.000mm-gantryxp000080.000mm-yp000015.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,164,4322.9,0.0379,0.921,0,False
72.0,auto_scan-2026-07-30_10-57-31,y0072.00cm,jul30_axicon3_001_070-tableyp000720.000mm-gantryxp000075.000mm-yp000110.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,162,4089.2,0.0396,0.915,0,False
72.0,auto_scan-2026-07-30_10-57-31,y0072.00cm,jul30_axicon3_001_070-tableyp000720.000mm-gantryxp000075.000mm-yp000110.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,177,4089.2,0.0433,1.0,0,False
72.0,auto_scan-2026-07-30_10-57-31,y0072.00cm,jul30_axicon3_001_070-tableyp000720.000mm-gantryxp000080.000mm-yp000110.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,170,4089.2,0.0416,0.96,0,False
72.0,auto_scan-2026-07-30_10-57-31,y0072.00cm,jul30_axicon3_001_070-tableyp000720.000mm-gantryxp000080.000mm-yp000110.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,170,4089.2,0.0416,0.96,0,False
72.0,auto_scan-2026-07-30_11-33-11,y0072.00cm,jul30_axicon3_001_060-tableyp000720.000mm-gantryxp000075.000mm-yp000010.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,152,3593.7,0.0423,1.0,0,False
72.0,auto_scan-2026-07-30_11-33-11,y0072.00cm,jul30_axicon3_001_060-tableyp000720.000mm-gantryxp000075.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy,75.0,-87.1,141,3593.7,0.0392,0.928,0,False
72.0,auto_scan-2026-07-30_11-33-11,y0072.00cm,jul30_axicon3_001_060-tableyp000720.000mm-gantryxp000080.000mm-yp000010.000mm-zm000083.100mm-shot0000.npy,80.0,-83.1,134,3593.7,0.0373,0.882,0,False
72.0,auto_scan-2026-07-30_11-33-11,y0072.00cm,jul30_axicon3_001_060-tableyp000720.000mm-gantryxp000080.000mm-yp000010.000mm-zm000087.100mm-shot0000.npy,80.0,-87.1,149,3593.7,0.0415,0.98,0,False
72.5,auto_scan-2026-07-30_10-57-31,y0072.50cm,jul30_axicon3_001_070-tableyp000725.000mm-gantryxp000075.000mm-yp000105.000mm-zm000083.100mm-shot0000.npy,75.0,-83.1,164,4089.2,0.0401,0.953,0,False
