beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
9.0,auto_scan-2026-08-06_20-51-45,y0009.00cm,aug6_telescope_001-tableyp000090.000mm-gantryxp000060.000mm-yp000090.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,176,2032.3,0.0866,1.0,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,146,2601.3,0.0561,0.948,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,143,2601.3,0.055,0.929,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000065.000mm-yp000080.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,154,2601.3,0.0592,1.0,0,False
10.0,auto_scan-2026-08-06_18-38-37,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000065.000mm-yp000080.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,154,2601.3,0.0592,1.0,0,False
10.0,auto_scan-2026-08-06_20-51-45,y0010.00cm,aug6_telescope_001-tableyp000100.000mm-gantryxp000060.000mm-yp000080.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,169,2032.3,0.0832,1.0,0,False
11.0,auto_scan-2026-08-06_18-38-37,y0011.00cm,aug6_telescope_001-tableyp000110.000mm-gantryxp000060.000mm-yp000070.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,156,2601.3,0.06,0.918,0,False
11.0,auto_scan-2026-08-06_18-38-37,y0011.00cm,aug6_telescope_001-tableyp000110.000mm-gantryxp000060.000mm-yp000070.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,152,2601.3,0.0584,0.894,0,False
11.0,auto_scan-2026-08-06_18-38-37,y0011.00cm,aug6_telescope_001-tableyp000110.000mm-gantryxp000065.000mm-yp000070.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,148,2601.3,0.0569,0.871,0,False
11.0,auto_scan-2026-08-06_18-38-37,y0011.00cm,aug6_telescope_001-tableyp000110.000mm-gantryxp000065.000mm-yp000070.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,170,2601.3,0.0654,1.0,0,False
11.0,auto_scan-2026-08-06_20-51-45,y0011.00cm,aug6_telescope_001-tableyp000110.000mm-gantryxp000060.000mm-yp000070.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,165,2032.3,0.0812,1.0,0,False
12.0,auto_scan-2026-08-06_18-38-37,y0012.00cm,aug6_telescope_001-tableyp000120.000mm-gantryxp000060.000mm-yp000060.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,139,2162.5,0.0643,0.952,0,False
12.0,auto_scan-2026-08-06_18-38-37,y0012.00cm,aug6_telescope_001-tableyp000120.000mm-gantryxp000060.000mm-yp000060.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,140,2162.5,0.0647,0.959,0,False
12.0,auto_scan-2026-08-06_18-38-37,y0012.00cm,aug6_telescope_001-tableyp000120.000mm-gantryxp000065.000mm-yp000060.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,131,2162.5,0.0606,0.897,0,False
12.0,auto_scan-2026-08-06_18-38-37,y0012.00cm,aug6_telescope_001-tableyp000120.000mm-gantryxp000065.000mm-yp000060.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,146,2162.5,0.0675,1.0,0,False
12.0,auto_scan-2026-08-06_20-51-45,y0012.00cm,aug6_telescope_001-tableyp000120.000mm-gantryxp000060.000mm-yp000060.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,152,1689.5,0.09,1.0,0,False
13.0,auto_scan-2026-08-06_18-38-37,y0013.00cm,aug6_telescope_001-tableyp000130.000mm-gantryxp000060.000mm-yp000050.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,134,2162.5,0.062,0.918,0,False
13.0,auto_scan-2026-08-06_18-38-37,y0013.00cm,aug6_telescope_001-tableyp000130.000mm-gantryxp000060.000mm-yp000050.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,146,2162.5,0.0675,1.0,0,False
13.0,auto_scan-2026-08-06_18-38-37,y0013.00cm,aug6_telescope_001-tableyp000130.000mm-gantryxp000065.000mm-yp000050.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,137,2162.5,0.0634,0.938,0,False
13.0,auto_scan-2026-08-06_18-38-37,y0013.00cm,aug6_telescope_001-tableyp000130.000mm-gantryxp000065.000mm-yp000050.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,143,2162.5,0.0661,0.979,0,False
13.0,auto_scan-2026-08-06_20-51-45,y0013.00cm,aug6_telescope_001-tableyp000130.000mm-gantryxp000060.000mm-yp000050.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,163,1689.5,0.0965,1.0,0,False
14.0,auto_scan-2026-08-06_18-38-37,y0014.00cm,aug6_telescope_001-tableyp000140.000mm-gantryxp000060.000mm-yp000040.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,141,2162.5,0.0652,0.946,0,False
14.0,auto_scan-2026-08-06_18-38-37,y0014.00cm,aug6_telescope_001-tableyp000140.000mm-gantryxp000060.000mm-yp000040.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,137,2162.5,0.0634,0.919,0,False
14.0,auto_scan-2026-08-06_18-38-37,y0014.00cm,aug6_telescope_001-tableyp000140.000mm-gantryxp000065.000mm-yp000040.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,144,2162.5,0.0666,0.966,0,False
14.0,auto_scan-2026-08-06_18-38-37,y0014.00cm,aug6_telescope_001-tableyp000140.000mm-gantryxp000065.000mm-yp000040.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,149,2162.5,0.0689,1.0,0,False
14.0,auto_scan-2026-08-06_20-51-45,y0014.00cm,aug6_telescope_001-tableyp000140.000mm-gantryxp000060.000mm-yp000040.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,154,1404.5,0.1096,1.0,0,False
15.0,auto_scan-2026-08-06_18-38-37,y0015.00cm,aug6_telescope_001-tableyp000150.000mm-gantryxp000060.000mm-yp000030.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,142,2162.5,0.0657,0.94,0,False
15.0,auto_scan-2026-08-06_18-38-37,y0015.00cm,aug6_telescope_001-tableyp000150.000mm-gantryxp000060.000mm-yp000030.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,142,2162.5,0.0657,0.94,0,False
15.0,auto_scan-2026-08-06_18-38-37,y0015.00cm,aug6_telescope_001-tableyp000150.000mm-gantryxp000065.000mm-yp000030.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,149,2162.5,0.0689,0.987,0,False
15.0,auto_scan-2026-08-06_18-38-37,y0015.00cm,aug6_telescope_001-tableyp000150.000mm-gantryxp000065.000mm-yp000030.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,151,2162.5,0.0698,1.0,0,False
15.0,auto_scan-2026-08-06_20-51-45,y0015.00cm,aug6_telescope_001-tableyp000150.000mm-gantryxp000060.000mm-yp000030.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,170,1404.5,0.121,1.0,0,False
16.0,auto_scan-2026-08-06_18-38-37,y0016.00cm,aug6_telescope_001-tableyp000160.000mm-gantryxp000060.000mm-yp000020.000mm-zm000108.100mm-shot0000.npy,60.0,-108.1,121,2162.5,0.056,0.776,0,False
16.0,auto_scan-2026-08-06_18-38-37,y0016.00cm,aug6_telescope_001-tableyp000160.000mm-gantryxp000060.000mm-yp000020.000mm-zm000112.100mm-shot0000.npy,60.0,-112.1,121,2162.5,0.056,0.776,0,False
16.0,auto_scan-2026-08-06_18-38-37,y0016.00cm,aug6_telescope_001-tableyp000160.000mm-gantryxp000065.000mm-yp000020.000mm-zm000108.100mm-shot0000.npy,65.0,-108.1,154,2162.5,0.0712,0.987,0,False
16.0,auto_scan-2026-08-06_18-38-37,y0016.00cm,aug6_telescope_001-tableyp000160.000mm-gantryxp000065.000mm-yp000020.000mm-zm000112.100mm-shot0000.npy,65.0,-112.1,156,2162.5,0.0721,1.0,0,False
16.0,auto_scan-2026-08-06_20-51-45,y0016.00cm,aug6_telescope_001-tableyp000160.000mm-gantryxp000060.000mm-yp000020.000mm-zm000102.100mm-shot0000.npy,60.0,-102.1,176,1404.5,0.1253,1.0,0,False
