candidate,label,n_y_points,n_clipped,n_no_csv_sat,n_no_fit,n_dedup,peak_c_per_us,z_peak_m,fp_lo_m,fp_hi_m,fp_dz_m,win_lo_m,win_hi_m,win_dz_m,floor_min_over_peak_pct,ripple_peak_to_trough_pct
1,Candidate #1 (Jul 22-23),118,402,0,1,83,0.722603134748571,1.48,1.294398385240865,1.6773532870385475,0.3829549017976825,1.294398385240865,1.6773532870385475,0.3829549017976825,51.53957854177784,48.46042145822216
2,Candidate #2 (Jul 29-30),272,320,0,0,227,0.5903458876129589,1.985,1.8893495277698862,,,1.1796693485224283,,,37.325490618781465,62.674509381218535
3,Candidate #3 (Aug 5-6),83,49,3,0,59,2.002977745477998,1.32,1.2434452974725083,1.4181511696956832,0.1747058722231749,1.1173514483488458,1.4181511696956832,0.3007997213468374,37.48725119900607,62.51274880099393
4,Candidate #4 (Aug 6),60,115,0,0,20,0.3227676911388515,0.65,0.4689658039423928,0.7852163160277575,0.31625051208536475,0.4689658039423928,0.7852163160277575,0.31625051208536475,50.36777607114139,49.63222392885861
