3,auto_scan-2026-07-23_10-16-43,y0053.00cm,jul23-003-background,background
12,auto_scan-2026-07-23_10-16-43,y0054.00cm,jul23-003,beam
18,auto_scan-2026-07-23_10-16-43,y0054.00cm,jul23-003,dark
3,auto_scan-2026-07-23_10-16-43,y0054.00cm,jul23-003-background,background
13,auto_scan-2026-07-23_10-42-35,y0042.00cm,jul23-003,beam
23,auto_scan-2026-07-23_10-42-35,y0042.00cm,jul23-003,dark
13,auto_scan-2026-07-23_10-42-35,y0043.00cm,jul23-003,beam
23,auto_scan-2026-07-23_10-42-35,y0043.00cm,jul23-003,dark
12,auto_scan-2026-07-23_10-42-35,y0044.00cm,jul23-003,beam
24,auto_scan-2026-07-23_10-42-35,y0044.00cm,jul23-003,dark
11,auto_scan-2026-07-23_10-42-35,y0045.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0045.00cm,jul23-003,dark
11,auto_scan-2026-07-23_10-42-35,y0046.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0046.00cm,jul23-003,dark
11,auto_scan-2026-07-23_10-42-35,y0047.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0047.00cm,jul23-003,dark
11,auto_scan-2026-07-23_10-42-35,y0048.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0048.00cm,jul23-003,dark
11,auto_scan-2026-07-23_10-42-35,y0049.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0049.00cm,jul23-003,dark
10,auto_scan-2026-07-23_10-42-35,y0050.00cm,jul23-003,beam
20,auto_scan-2026-07-23_10-42-35,y0050.00cm,jul23-003,dark
9,auto_scan-2026-07-23_10-42-35,y0051.00cm,jul23-003,beam
16,auto_scan-2026-07-23_10-42-35,y0051.00cm,jul23-003,dark
9,auto_scan-2026-07-23_10-42-35,y0052.00cm,jul23-003,beam
16,auto_scan-2026-07-23_10-42-35,y0052.00cm,jul23-003,dark
3,auto_scan-2026-07-23_10-42-35,y0052.00cm,jul23-003-background,background
9,auto_scan-2026-07-23_10-42-35,y0053.00cm,jul23-003,beam
16,auto_scan-2026-07-23_10-42-35,y0053.00cm,jul23-003,dark
3,auto_scan-2026-07-23_10-42-35,y0053.00cm,jul23-003-background,background
11,auto_scan-2026-07-23_10-42-35,y0054.00cm,jul23-003,beam
19,auto_scan-2026-07-23_10-42-35,y0054.00cm,jul23-003,dark
3,auto_scan-2026-07-23_10-42-35,y0054.00cm,jul23-003-background,background
11,auto_scan-2026-07-23_13-32-02,y0059.50cm,jul23-004,beam
19,auto_scan-2026-07-23_13-32-02,y0059.50cm,jul23-004,dark
11,auto_scan-2026-07-23_13-32-02,y0060.50cm,jul23-004,beam
19,auto_scan-2026-07-23_13-32-02,y0060.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0061.50cm,jul23-004,beam
18,auto_scan-2026-07-23_13-32-02,y0061.50cm,jul23-004,dark
12,auto_scan-2026-07-23_13-32-02,y0062.50cm,jul23-004,beam
