beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000055.500mm-yp000010.000mm-zm000090.000mm-shot0000.npy,55.5,-90.0,123,64000.0,0.0019,0.918,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000060.500mm-yp000010.000mm-zm000090.000mm-shot0000.npy,60.5,-90.0,116,64000.0,0.0018,0.866,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000050.500mm-yp000010.000mm-zm000090.000mm-shot0000.npy,50.5,-90.0,115,64000.0,0.0018,0.858,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000050.500mm-yp000010.000mm-zm000086.000mm-shot0000.npy,50.5,-86.0,105,64000.0,0.0016,0.784,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000055.500mm-yp000010.000mm-zm000086.000mm-shot0000.npy,55.5,-86.0,121,64000.0,0.0019,0.903,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000060.500mm-yp000010.000mm-zm000086.000mm-shot0000.npy,60.5,-86.0,134,64000.0,0.0021,1.0,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000050.500mm-yp000010.000mm-zm000082.000mm-shot0000.npy,50.5,-82.0,120,64000.0,0.0019,0.896,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000055.500mm-yp000010.000mm-zm000082.000mm-shot0000.npy,55.5,-82.0,123,64000.0,0.0019,0.918,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000060.500mm-yp000010.000mm-zm000082.000mm-shot0000.npy,60.5,-82.0,114,64000.0,0.0018,0.851,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000050.500mm-yp000010.000mm-zm000078.000mm-shot0000.npy,50.5,-78.0,114,64000.0,0.0018,0.851,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000055.500mm-yp000010.000mm-zm000078.000mm-shot0000.npy,55.5,-78.0,110,64000.0,0.0017,0.821,0,False
18.0,auto_scan-2026-07-22_19-26-20,y0018.00cm,jul22-001-tableyp000180.000mm-gantryxp000060.500mm-yp000010.000mm-zm000078.000mm-shot0000.npy,60.5,-78.0,119,64000.0,0.0019,0.888,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000060.500mm-yp000120.000mm-zm000083.000mm-shot0000.npy,60.5,-83.0,136,82940.9,0.0016,0.805,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000055.500mm-yp000120.000mm-zm000083.000mm-shot0000.npy,55.5,-83.0,138,82940.9,0.0017,0.817,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000055.500mm-yp000120.000mm-zm000079.000mm-shot0000.npy,55.5,-79.0,143,82940.9,0.0017,0.846,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000060.500mm-yp000120.000mm-zm000079.000mm-shot0000.npy,60.5,-79.0,123,82940.9,0.0015,0.728,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000055.500mm-yp000120.000mm-zm000087.000mm-shot0000.npy,55.5,-87.0,169,82940.9,0.002,1.0,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000060.500mm-yp000120.000mm-zm000087.000mm-shot0000.npy,60.5,-87.0,146,82940.9,0.0018,0.864,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000050.500mm-yp000120.000mm-zm000087.000mm-shot0000.npy,50.5,-87.0,122,82940.9,0.0015,0.722,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000050.500mm-yp000120.000mm-zm000083.000mm-shot0000.npy,50.5,-83.0,114,82940.9,0.0014,0.675,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000050.500mm-yp000120.000mm-zm000079.000mm-shot0000.npy,50.5,-79.0,130,82940.9,0.0016,0.769,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000050.500mm-yp000120.000mm-zm000075.000mm-shot0000.npy,50.5,-75.0,111,82940.9,0.0013,0.657,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000055.500mm-yp000120.000mm-zm000075.000mm-shot0000.npy,55.5,-75.0,95,82940.9,0.0011,0.562,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000050.500mm-yp000120.000mm-zm000091.000mm-shot0000.npy,50.5,-91.0,131,82940.9,0.0016,0.775,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000055.500mm-yp000120.000mm-zm000091.000mm-shot0000.npy,55.5,-91.0,132,82940.9,0.0016,0.781,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000060.500mm-yp000120.000mm-zm000091.000mm-shot0000.npy,60.5,-91.0,117,82940.9,0.0014,0.692,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000045.500mm-yp000120.000mm-zm000091.000mm-shot0000.npy,45.5,-91.0,129,82940.9,0.0016,0.763,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000045.500mm-yp000120.000mm-zm000087.000mm-shot0000.npy,45.5,-87.0,130,82940.9,0.0016,0.769,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000045.500mm-yp000120.000mm-zm000083.000mm-shot0000.npy,45.5,-83.0,132,82940.9,0.0016,0.781,0,False
7.0,auto_scan-2026-07-22_19-52-49,y0007.00cm,jul22-001-tableyp000070.000mm-gantryxp000045.500mm-yp000120.000mm-zm000079.000mm-shot0000.npy,45.5,-79.0,121,82940.9,0.0015,0.716,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000060.500mm-yp000110.000mm-zm000091.000mm-shot0000.npy,60.5,-91.0,124,82940.9,0.0015,0.844,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000055.500mm-yp000110.000mm-zm000091.000mm-shot0000.npy,55.5,-91.0,140,82940.9,0.0017,0.952,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000055.500mm-yp000110.000mm-zm000087.000mm-shot0000.npy,55.5,-87.0,143,82940.9,0.0017,0.973,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000060.500mm-yp000110.000mm-zm000087.000mm-shot0000.npy,60.5,-87.0,133,82940.9,0.0016,0.905,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000050.500mm-yp000110.000mm-zm000091.000mm-shot0000.npy,50.5,-91.0,133,82940.9,0.0016,0.905,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000050.500mm-yp000110.000mm-zm000087.000mm-shot0000.npy,50.5,-87.0,124,82940.9,0.0015,0.844,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000050.500mm-yp000110.000mm-zm000083.000mm-shot0000.npy,50.5,-83.0,122,82940.9,0.0015,0.83,0,False
8.0,auto_scan-2026-07-22_19-52-49,y0008.00cm,jul22-001-tableyp000080.000mm-gantryxp000055.500mm-yp000110.000mm-zm000083.000mm-shot0000.npy,55.5,-83.0,139,82940.9,0.0017,0.946,0,False
